Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
1,2.41208,2.13247,1.70506,1.40583,1.86671,1.72815,1.97212,1.8402,1.83887,1.4761,1.50196,1.24384,1.43136,1.17175,1.36895,1.18127,2.45597,2.11498,2.88319,1.96951,2.32002,1.93004,2.81733,1.83688,1.85112,1.88118,1.8333,1.8283,1.53535,1.54279,1.52247,1.5023,2.08801,2.05909,2.27461,2.2649,1.95198,1.92791,2.2078,2.20826,1.46602,1.18862,1.47183,1.20904,1.73195,1.54687,1.75662,1.70899
2,3.03136,2.58554,2.22924,1.76557,2.51169,2.32673,2.64156,2.44922,2.27866,1.92939,1.83372,1.57991,1.95721,1.64492,1.8637,1.4695,2.82101,2.45264,2.98372,2.34922,2.5953,2.21089,2.67163,1.93235,2.20617,2.20826,2.13141,2.11365,1.93383,1.8984,1.95753,1.92341,2.30061,2.24497,2.39964,2.40878,2.14596,2.08834,2.26651,2.28598,1.96776,1.49742,2.10921,1.63197,1.91901,1.67724,1.94511,1.7716
3,2.80085,2.368,2.02793,1.63268,2.59443,2.44823,2.69586,2.56096,2.35323,2.0756,1.93419,1.7361,2.31577,1.8471,2.09715,1.71068,2.95997,2.52396,3.40912,2.44922,2.77636,2.30319,3.25242,2.17684,2.28362,2.24418,2.28374,2.28249,1.96699,1.87025,2.0589,2.0373,2.3683,2.39007,2.66937,2.67493,2.11583,2.16832,2.49325,2.52225,2.27946,1.92457,2.50544,2.14488,2.61466,2.33097,2.66546,2.441
4,2.71241,2.34224,1.91215,1.53128,2.56433,2.35538,2.67943,2.43754,2.60327,2.08549,1.93394,1.55217,2.29999,1.94388,2.17275,1.88113,2.54114,1.98011,3.06291,1.88254,2.48583,1.8636,3.01741,1.66929,2.41931,2.48725,2.3891,2.40559,1.79003,1.82984,2.00169,2.00969,2.72414,2.61622,3.07765,2.9635,2.61701,2.53359,3.05175,2.95392,2.78949,2.27895,3.0692,2.57794,2.2736,2.1207,2.41563,2.32653
5,2.62329,2.19851,1.6859,1.22515,2.72984,2.59453,2.89589,2.74783,3.34344,2.82187,2.4667,2.04398,2.63546,2.2456,2.61273,2.26368,3.21236,2.85345,3.58972,2.83758,2.9076,2.50352,3.26944,2.40275,2.88367,2.87943,2.90786,2.89962,2.20695,2.12642,2.37877,2.34604,3.03464,2.87344,3.3704,3.23624,2.88282,2.77071,3.30199,3.21237,2.65637,2.25076,2.8333,2.43808,2.03492,1.78393,2.03013,1.83923
6,2.86835,2.45372,1.96334,1.55895,2.58244,2.29266,2.60718,2.30841,3.66351,3.21699,2.55127,2.15519,2.42454,2.0903,2.2719,2.05465,2.77585,2.46387,3.32983,2.62214,2.59821,2.25252,3.09892,2.2805,2.66285,2.68517,2.76589,2.76649,2.06654,2.03419,2.2223,2.20069,2.46671,2.41311,2.64959,2.59084,2.19492,2.14645,2.46354,2.41187,3.12375,2.79283,3.30604,3.05438,2.35548,2.0082,2.42302,2.12457
7,2.82795,2.47804,1.86835,1.54984,2.48361,2.19723,2.47297,2.21112,3.87866,3.26389,2.80899,2.32699,2.07618,1.68511,1.82865,1.58716,2.77903,2.31958,3.36488,2.3678,2.56106,1.98112,3.15007,1.93717,2.48598,2.40916,2.43313,2.43221,2.12771,1.98731,2.04936,2.03147,2.10426,1.90703,2.28244,2.03659,1.99011,1.82021,2.22657,1.98179,2.72853,2.43739,2.94021,2.69299,1.96855,1.61069,2.00818,1.7417
8,2.38816,2.06708,1.5952,1.30511,2.53846,2.3817,2.62035,2.46061,3.66974,3.00789,2.86562,2.34006,2.68716,2.01047,2.43381,2.00991,2.93092,2.55785,3.76657,3.06045,2.74097,2.27257,3.56809,2.74724,3.00337,2.80243,3.08117,2.95144,2.56723,2.23748,2.68142,2.48427,2.20442,2.07671,2.45077,2.30643,1.92656,1.83162,2.24458,2.11919,2.74573,2.26287,2.75649,2.37166,2.41883,2.04542,2.43688,2.21351
9,2.54948,2.22975,1.78363,1.45138,3.0079,2.83976,3.13585,2.98125,3.74842,3.14195,2.64322,2.17445,2.72507,1.87132,2.38951,1.94277,3.24749,2.8825,3.82315,3.18417,2.89752,2.39126,3.28615,2.32427,3.12203,3.12149,3.15854,3.14801,2.38972,2.27884,2.48981,2.41975,2.20911,2.00124,2.39283,2.17043,1.97798,1.76216,2.2594,2.01625,2.86252,2.35751,3.16578,2.72252,2.6605,2.28873,2.59129,2.35585
10,3.06075,2.59375,1.93784,1.51351,3.2598,2.86442,3.37625,2.99385,3.33825,2.79082,2.43796,2.03028,3.46005,2.39189,3.15019,2.60039,3.19759,2.82447,3.63747,3.02972,2.9742,2.51243,3.27943,2.43768,3.10345,3.05261,3.05813,3.00854,2.27782,2.05976,2.47983,2.36245,2.7198,2.55494,2.93165,2.70346,2.45947,2.33156,2.75547,2.54166,3.38594,3.04567,3.59814,3.32965,2.8718,2.55065,2.92576,2.69559
