timestep,ha_1bpi,ca_1bpi,bb_1bpi,hant_1bpi,cant_1bpi,bbnt_1bpi,ha_1l2y,ca_1l2y,bb_1l2y,hant_1l2y,cant_1l2y,bbnt_1l2y,ha_1ubq,ca_1ubq,bb_1ubq,hant_1ubq,cant_1ubq,bbnt_1ubq,ha_1ucs,ca_1ucs,bb_1ucs,hant_1ucs,cant_1ucs,bbnt_1ucs,ha_1vii,ca_1vii,bb_1vii,hant_1vii,cant_1vii,bbnt_1vii,ha_1wm3,ca_1wm3,bb_1wm3,hant_1wm3,cant_1wm3,bbnt_1wm3,ha_2oed,ca_2oed,bb_2oed,hant_2oed,cant_2oed,bbnt_2oed,ha_2ppn,ca_2ppn,bb_2ppn,hant_2ppn,cant_2ppn,bbnt_2ppn,ha_7skw,ca_7skw,bb_7skw,hant_7skw,cant_7skw,bbnt_7skw
0.2,1.47618,1.0314,1.00563,1.39704,0.82324,0.8021,2.39499,1.72497,1.6546,1.41475,0.65397,0.61497,1.49977,1.12934,1.11021,1.37455,0.9651,0.93487,1.15506,0.8612,0.85189,1.01051,0.75025,0.73396,2.30937,1.62506,1.55527,2.09122,1.45795,1.38657,1.76215,1.02557,1.00926,1.71325,1.03267,1.00393,1.04503,0.64003,0.63071,1.00516,0.64409,0.63462,1.34224,0.91869,0.885,1.26627,0.76907,0.7542,4.63066,1.86729,1.81462,2.26981,1.84346,1.78261
0.4,1.69899,1.30498,1.26006,1.59352,1.01964,0.9919,2.80829,1.95451,1.79458,1.96574,1.012,0.9245,1.83284,1.41688,1.39246,1.67411,1.18305,1.14645,1.14386,0.75633,0.74862,0.93313,0.66914,0.65716,2.44398,1.60608,1.55158,2.17681,1.42887,1.36348,2.10929,1.23619,1.21698,2.02931,1.21607,1.18086,1.14364,0.78041,0.74763,1.09558,0.77365,0.74075,1.32122,0.80135,0.76297,1.29178,0.76085,0.72616,5.33725,2.1893,2.12218,2.68878,2.15363,2.0807
0.6,1.66736,1.194,1.15399,1.58398,0.97165,0.93487,2.87868,2.00124,1.8893,2.13751,1.11994,1.03499,1.91211,1.37602,1.34971,1.64641,1.10866,1.08166,1.3706,0.94058,0.96989,1.08454,0.78855,0.77997,2.36476,1.56288,1.50034,2.2065,1.45288,1.36855,2.11687,1.28133,1.24129,2.10168,1.29233,1.24513,1.58673,1.17353,1.12371,1.55223,1.18069,1.12515,1.32738,0.76548,0.7606,1.25454,0.71136,0.70625,5.38941,2.19561,2.12803,2.69911,2.16754,2.09552
0.8,1.59154,1.17033,1.13459,1.50366,0.90519,0.88348,2.98308,1.98289,1.75883,2.71264,1.4127,1.25732,2.18309,1.68313,1.66945,1.76704,1.21214,1.18686,1.21598,0.82445,0.84024,0.84481,0.56334,0.55114,2.67755,1.95397,1.8771,2.4244,1.74441,1.67329,1.97994,1.1691,1.13939,1.93647,1.14735,1.11059,1.46178,1.01539,0.96499,1.4265,1.01456,0.95687,1.373,0.88693,0.86092,1.26389,0.74216,0.72467,5.6309,2.1829,2.10802,2.67359,2.12366,2.04502
1,1.7344,1.33151,1.27715,1.61312,0.9888,0.95861,3.03618,2.14606,1.91104,2.51532,1.47468,1.29948,2.58143,2.1341,2.13551,1.95567,1.39374,1.35696,1.13266,0.81893,0.82151,0.97871,0.76947,0.75806,2.66419,1.88818,1.82875,2.39955,1.65594,1.58544,2.22796,1.43829,1.38586,2.21459,1.43698,1.37951,1.6109,1.05487,0.98879,1.59682,1.06145,0.99313,1.48632,0.99906,0.98094,1.44709,0.95902,0.93937,5.64442,2.1979,2.13513,2.69249,2.14073,2.07293
1.2,1.90361,1.44456,1.4111,1.80117,1.14129,1.11822,3.06937,2.08232,1.85964,2.60165,1.39393,1.22711,2.69594,2.22879,2.20995,2.08595,1.51797,1.46505,1.29593,0.87508,0.86162,1.01029,0.67061,0.64179,2.61624,1.75169,1.68488,2.47532,1.67055,1.59784,2.12434,1.40046,1.35909,2.11873,1.3911,1.34478,1.6694,1.13731,1.06339,1.64807,1.13648,1.06565,1.57113,1.0885,1.06259,1.56666,1.09169,1.06911,5.73042,2.28142,2.213,2.75716,2.21934,2.14382
1.4,2.11357,1.73533,1.70672,1.91805,1.29811,1.25844,3.15936,2.06673,1.84073,2.80808,1.47724,1.28015,2.53897,2.09645,2.0814,1.99676,1.44665,1.40211,1.47989,1.07657,1.0931,0.92766,0.55898,0.54011,2.6417,1.85836,1.78908,2.38574,1.68735,1.60017,2.03872,1.3311,1.2986,2.03189,1.31985,1.28305,1.65404,1.07686,1.00643,1.6311,1.07149,1.00126,1.67171,1.17292,1.15591,1.57167,1.06434,1.04659,5.98939,2.30556,2.2342,2.78034,2.25582,2.17904
1.6,1.93944,1.5736,1.54956,1.7556,1.17654,1.1414,3.16506,2.14655,1.93628,2.67727,1.52609,1.33722,2.64043,2.20559,2.18121,2.10704,1.61342,1.56419,1.57785,1.18987,1.17468,1.16198,0.91163,0.87942,2.76353,2.02945,1.96449,2.53357,1.85643,1.77625,2.10604,1.29883,1.25237,2.10632,1.30247,1.25158,1.95695,1.35255,1.26763,1.94291,1.35974,1.27228,1.55867,1.07387,1.05383,1.49,0.9742,0.96077,5.86891,2.35332,2.2952,2.82872,2.29145,2.22567
1.8,1.93139,1.57537,1.55613,1.73275,1.1296,1.09607,3.15967,2.09229,1.87801,2.78496,1.49272,1.31808,2.63905,2.17583,2.14692,2.08471,1.53608,1.48792,1.4361,1.08572,1.10407,1.0815,0.8971,0.8782,2.55746,1.75826,1.69064,2.28828,1.59946,1.52163,2.08706,1.32617,1.29213,2.06656,1.31102,1.27158,1.87305,1.31058,1.2348,1.86749,1.32063,1.24311,1.75884,1.27581,1.25852,1.5826,1.06103,1.03585,6.01519,2.4155,2.33879,2.84026,2.33188,2.2527
2,2.04834,1.67464,1.64392,1.84965,1.22749,1.18402,2.98786,2.08592,1.87156,2.46905,1.41801,1.24884,2.70378,2.25121,2.22606,2.17103,1.66204,1.61538,1.42906,0.97836,0.9871,1.15925,0.81,0.7899,2.5907,1.86158,1.79932,2.36057,1.7377,1.66966,2.13776,1.28772,1.25058,2.13785,1.28586,1.24389,1.64914,1.09673,1.01383,1.6308,1.10193,1.01666,1.59269,1.11504,1.09962,1.59457,1.13918,1.12521,5.85045,2.33378,2.26551,2.78904,2.22619,2.15324
