Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
1,2.41208,2.13247,1.70506,1.40583,1.86671,1.72815,1.97212,1.8402,1.83887,1.4761,1.50196,1.24384,1.43136,1.17175,1.36895,1.18127,2.45597,2.11498,2.88319,1.96951,2.32002,1.93004,2.81733,1.83688,1.85112,1.88118,1.8333,1.8283,1.53535,1.54279,1.52247,1.5023,2.08801,2.05909,2.27461,2.2649,1.95198,1.92791,2.2078,2.20826,1.46602,1.18862,1.47183,1.20904,1.73195,1.54687,1.75662,1.70899
4,2.71241,2.34224,1.91215,1.53128,2.56433,2.35538,2.67943,2.43754,2.60327,2.08549,1.93394,1.55217,2.29999,1.94388,2.17275,1.88113,2.54114,1.98011,3.06291,1.88254,2.48583,1.8636,3.01741,1.66929,2.41931,2.48725,2.3891,2.40559,1.79003,1.82984,2.00169,2.00969,2.72414,2.61622,3.07765,2.9635,2.61701,2.53359,3.05175,2.95392,2.78949,2.27895,3.0692,2.57794,2.2736,2.1207,2.41563,2.32653
9,2.54948,2.22975,1.78363,1.45138,3.0079,2.83976,3.13585,2.98125,3.74842,3.14195,2.64322,2.17445,2.72507,1.87132,2.38951,1.94277,3.24749,2.8825,3.82315,3.18417,2.89752,2.39126,3.28615,2.32427,3.12203,3.12149,3.15854,3.14801,2.38972,2.27884,2.48981,2.41975,2.20911,2.00124,2.39283,2.17043,1.97798,1.76216,2.2594,2.01625,2.86252,2.35751,3.16578,2.72252,2.6605,2.28873,2.59129,2.35585
14,3.22952,2.75416,2.12668,1.65961,3.49227,3.01379,3.69293,3.29651,2.98675,2.53266,2.26144,1.85933,2.92644,1.87111,2.51443,1.9303,3.38757,2.92448,4.10098,3.48964,3.03396,2.36357,3.44306,2.39455,3.08927,3.12574,2.9122,2.93251,1.87511,1.81272,2.05685,2.03196,2.72849,2.57417,2.98865,2.80339,2.27375,2.13383,2.69588,2.51517,4.04872,3.63128,4.46806,4.12007,2.42879,2.12343,2.41857,2.18768
19,2.78116,2.50683,1.94059,1.62114,2.78735,2.59602,2.94241,2.74811,3.45969,2.92813,2.62086,2.23423,2.89953,1.92814,2.55379,1.9163,3.24396,2.92295,3.76317,3.34619,2.89399,2.46514,3.15784,2.52327,2.77777,2.85153,2.65819,2.69051,1.88198,1.90988,2.14761,2.16064,2.50432,2.38526,2.72985,2.57524,2.05391,2.00108,2.35891,2.24181,3.27824,2.83487,3.62069,3.24456,2.91618,2.54838,3.08649,2.79756
24,3.00607,2.63689,1.93228,1.53952,3.10436,2.94439,3.2968,3.15559,2.91731,2.57514,2.242,1.98697,3.20047,2.11698,2.84034,2.15374,3.11799,2.57782,3.61073,3.10666,2.7616,1.9972,2.96213,2.11742,3.01586,3.06227,3.01007,3.02884,2.27293,2.30748,2.53573,2.55998,2.06317,1.92334,2.04769,1.82204,1.85787,1.7187,1.88852,1.63126,3.77279,3.29304,3.99147,3.67752,4.06284,3.66695,4.31818,4.02505
29,3.03623,2.61134,1.91755,1.51835,2.00378,1.84259,2.05561,1.90904,3.44399,2.88172,2.58596,2.07696,3.38169,2.44248,3.12917,2.62687,4.06967,3.0531,4.94288,3.48507,3.98337,2.65808,4.81825,2.89612,2.74944,2.81186,2.57572,2.60217,1.81394,1.80923,2.0584,2.0611,1.82708,1.77368,2.05256,1.99615,1.76802,1.72434,2.03406,1.98183,3.82585,3.31951,4.13187,3.7237,3.95642,3.60593,4.24137,3.93369
34,2.67203,2.35703,1.97578,1.73697,2.70391,2.53742,2.78698,2.61683,3.85071,3.20742,2.71771,2.16167,3.33734,2.3059,3.0387,2.45114,3.5549,2.95884,3.88896,3.2275,3.35209,2.53082,3.51355,2.50808,3.64874,3.66804,3.30027,3.2813,1.95752,1.88999,2.33618,2.2763,2.63392,2.47966,2.92941,2.75659,2.34421,2.20848,2.71273,2.55192,4.71558,4.22033,5.21778,4.76572,2.4274,2.29179,2.60891,2.54801
39,2.74307,2.3813,1.96721,1.54383,2.50391,2.36207,2.57457,2.38346,3.57555,2.91889,2.67615,2.07101,2.92818,1.92732,2.54802,2.03393,4.21942,3.18614,4.69784,3.48538,4.06569,2.73028,4.43037,2.77297,3.97565,3.96093,3.90727,3.87804,2.76591,2.65721,3.13933,3.08194,2.68603,2.49639,3.04343,2.76482,2.37591,2.24001,2.83476,2.58151,4.63598,3.71425,4.89421,4.14524,3.56135,3.11392,3.85047,3.44421
44,2.66773,2.48645,1.78197,1.62652,3.08798,2.73296,3.30923,3.00772,3.91291,3.22351,2.85966,2.29506,3.06484,1.98266,2.63729,2.06954,3.76615,3.17404,4.12103,3.41203,3.54365,2.73446,3.82507,2.82529,3.78614,3.77119,3.58762,3.55544,2.30637,2.24091,2.74222,2.7012,2.69414,2.64959,2.82493,2.75018,2.05942,1.99115,2.33993,2.25289,4.22013,3.2822,4.43353,3.56528,3.49955,3.16289,3.91485,3.68333
