timestep,ha_1bpi,ca_1bpi,bb_1bpi,hant_1bpi,cant_1bpi,bbnt_1bpi,ha_1l2y,ca_1l2y,bb_1l2y,hant_1l2y,cant_1l2y,bbnt_1l2y,ha_1ubq,ca_1ubq,bb_1ubq,hant_1ubq,cant_1ubq,bbnt_1ubq,ha_1ucs,ca_1ucs,bb_1ucs,hant_1ucs,cant_1ucs,bbnt_1ucs,ha_1vii,ca_1vii,bb_1vii,hant_1vii,cant_1vii,bbnt_1vii,ha_1wm3,ca_1wm3,bb_1wm3,hant_1wm3,cant_1wm3,bbnt_1wm3,ha_2oed,ca_2oed,bb_2oed,hant_2oed,cant_2oed,bbnt_2oed,ha_2ppn,ca_2ppn,bb_2ppn,hant_2ppn,cant_2ppn,bbnt_2ppn,ha_7skw,ca_7skw,bb_7skw,hant_7skw,cant_7skw,bbnt_7skw
0.2,1.47618,1.0314,1.00563,1.39704,0.82324,0.8021,2.39499,1.72497,1.6546,1.41475,0.65397,0.61497,1.49977,1.12934,1.11021,1.37455,0.9651,0.93487,1.15506,0.8612,0.85189,1.01051,0.75025,0.73396,2.30937,1.62506,1.55527,2.09122,1.45795,1.38657,1.76215,1.02557,1.00926,1.71325,1.03267,1.00393,1.04503,0.64003,0.63071,1.00516,0.64409,0.63462,1.34224,0.91869,0.885,1.26627,0.76907,0.7542,4.63066,1.86729,1.81462,2.26981,1.84346,1.78261
0.8,1.59154,1.17033,1.13459,1.50366,0.90519,0.88348,2.98308,1.98289,1.75883,2.71264,1.4127,1.25732,2.18309,1.68313,1.66945,1.76704,1.21214,1.18686,1.21598,0.82445,0.84024,0.84481,0.56334,0.55114,2.67755,1.95397,1.8771,2.4244,1.74441,1.67329,1.97994,1.1691,1.13939,1.93647,1.14735,1.11059,1.46178,1.01539,0.96499,1.4265,1.01456,0.95687,1.373,0.88693,0.86092,1.26389,0.74216,0.72467,5.6309,2.1829,2.10802,2.67359,2.12366,2.04502
1.8,1.93139,1.57537,1.55613,1.73275,1.1296,1.09607,3.15967,2.09229,1.87801,2.78496,1.49272,1.31808,2.63905,2.17583,2.14692,2.08471,1.53608,1.48792,1.4361,1.08572,1.10407,1.0815,0.8971,0.8782,2.55746,1.75826,1.69064,2.28828,1.59946,1.52163,2.08706,1.32617,1.29213,2.06656,1.31102,1.27158,1.87305,1.31058,1.2348,1.86749,1.32063,1.24311,1.75884,1.27581,1.25852,1.5826,1.06103,1.03585,6.01519,2.4155,2.33879,2.84026,2.33188,2.2527
2.8,2.0139,1.57381,1.53279,1.86621,1.19945,1.15152,3.10448,2.22467,2.03046,2.48984,1.30299,1.18787,2.60327,2.15571,2.13068,2.0563,1.49074,1.45434,1.58053,1.12197,1.1371,1.1894,0.86552,0.82541,2.68107,1.87005,1.81301,2.45946,1.75864,1.69064,2.10152,1.22237,1.18785,2.07315,1.20741,1.16704,1.84501,1.2293,1.13767,1.81505,1.23783,1.14382,2.03792,1.49402,1.46136,1.97636,1.41185,1.37924,7.17379,2.42073,2.35906,2.83769,2.31327,2.24042
3.8,2.10176,1.72237,1.69048,1.8827,1.25924,1.2074,3.39201,2.18162,1.94408,3.01117,1.6625,1.44638,2.65873,2.24343,2.22196,2.12988,1.59772,1.55806,1.73932,1.26182,1.25603,1.21692,0.82343,0.79203,2.69161,1.87238,1.7913,2.47992,1.75476,1.66877,2.2063,1.33837,1.30068,2.18601,1.3345,1.28972,2.59105,1.94391,1.82531,2.54989,1.91679,1.81488,2.69608,2.29467,2.25584,2.09842,1.5384,1.49655,7.39939,2.37538,2.3101,2.82207,2.26356,2.18637
4.8,2.08095,1.65437,1.62651,1.894,1.24079,1.1948,3.30731,2.23562,1.98638,2.81904,1.5776,1.36296,2.41646,1.99593,1.97439,1.93861,1.39632,1.36371,1.49905,1.08345,1.10957,1.04032,0.71913,0.71312,2.71593,1.86491,1.79271,2.44806,1.68937,1.60856,2.25099,1.41312,1.37614,2.19106,1.39494,1.35178,2.43247,1.77163,1.68049,2.38725,1.72756,1.64192,2.41967,1.88387,1.83754,2.19741,1.62117,1.59157,7.0344,2.34719,2.2852,2.77027,2.23256,2.15889
5.8,2.01409,1.61238,1.58136,1.83518,1.17496,1.13405,2.95572,2.07827,1.86938,2.4716,1.48207,1.31372,2.70035,2.32806,2.32879,1.91655,1.39517,1.35264,1.66132,1.19,1.21621,1.1785,0.82442,0.80053,2.68839,1.98684,1.90293,2.44623,1.84132,1.74686,2.20072,1.31774,1.27539,2.18622,1.31536,1.26807,2.62559,1.90058,1.78431,2.58852,1.85517,1.74741,2.61057,2.10043,2.06348,2.18151,1.60209,1.57025,6.98689,2.36566,2.31084,2.83383,2.25737,2.18555
6.8,2.1135,1.68596,1.66882,1.90452,1.25429,1.21576,3.28029,2.29692,2.06274,2.72853,1.43197,1.25336,2.77452,2.46567,2.48578,2.01015,1.47932,1.43938,1.58602,1.16911,1.19,1.07384,0.77131,0.75763,2.79112,1.92626,1.84382,2.60496,1.79931,1.71258,2.35065,1.37108,1.31598,2.29237,1.36526,1.29681,2.62863,2.00392,1.90345,2.62681,2.01232,1.91284,2.26975,1.68396,1.64983,2.07547,1.47689,1.45414,6.5063,2.38632,2.32784,2.82689,2.28315,2.20958
7.8,2.16879,1.66547,1.64045,1.98258,1.23687,1.18915,3.20443,2.07647,1.8584,2.81255,1.55745,1.35295,2.69637,2.43375,2.4413,1.99073,1.5042,1.46276,1.47686,1.10643,1.08813,1.32404,1.03592,0.99152,2.65945,1.92489,1.84699,2.36581,1.75881,1.66577,2.45784,1.52325,1.48076,2.43126,1.52718,1.47273,2.70121,2.01911,1.91121,2.67749,2.00291,1.90055,2.78482,2.26568,2.23143,2.2812,1.60624,1.57419,7.02449,2.4288,2.35581,2.84468,2.31791,2.23543
8.8,2.15557,1.68964,1.65914,1.95598,1.2666,1.20999,3.30056,2.28547,2.03449,2.84835,1.56134,1.38481,2.91318,2.70249,2.7315,1.94317,1.37668,1.34454,1.50186,0.93587,0.96312,1.11462,0.76139,0.72683,2.66158,1.82315,1.75098,2.43282,1.68859,1.60996,2.13259,1.2356,1.19079,2.09709,1.20222,1.15273,3.0693,2.43754,2.32653,3.05474,2.41256,2.30821,2.9089,2.40187,2.36394,2.18408,1.48414,1.45203,5.83626,2.42363,2.35917,2.8803,2.32296,2.24697
9.8,2.22758,1.7606,1.71976,2.01958,1.29531,1.24106,3.03895,2.11243,1.89552,2.57705,1.4911,1.30207,3.17758,3.053,3.10412,1.95743,1.3718,1.33549,1.81776,1.23465,1.23956,1.27736,0.85295,0.81687,2.56938,1.73677,1.66236,2.37117,1.66379,1.5738,2.20605,1.30391,1.26843,2.16629,1.291,1.24286,2.55353,1.85594,1.75069,2.5494,1.86569,1.76116,2.59712,2.07371,2.03108,2.19855,1.5747,1.54069,6.4322,2.46283,2.39782,2.91929,2.37081,2.29535
10.8,2.13653,1.70222,1.67155,1.92688,1.25489,1.19877,3.10698,2.11196,1.86765,2.53937,1.43205,1.24304,3.44237,3.30895,3.39219,2.02508,1.43374,1.38844,2.11992,1.56641,1.57506,1.54108,1.14083,1.09542,2.67185,1.87946,1.80657,2.42672,1.73517,1.65277,2.25341,1.38038,1.33385,2.22713,1.35089,1.29759,2.53581,1.87228,1.76041,2.51531,1.85427,1.7427,2.64898,2.11882,2.08629,2.22219,1.60948,1.57834,6.85403,2.42627,2.35639,2.8695,2.32063,2.23846
11.8,2.1339,1.61286,1.5907,1.95387,1.20588,1.16184,3.45316,2.59123,2.31627,2.58088,1.50188,1.30796,3.33231,3.16465,3.23846,2.05351,1.44228,1.39335,2.02449,1.4849,1.4903,1.51735,1.12411,1.08228,2.72803,1.9186,1.84459,2.38835,1.63086,1.54491,2.30093,1.38233,1.33482,2.27409,1.36648,1.31306,2.65399,1.92628,1.79622,2.62101,1.90009,1.77786,3.14671,2.75904,2.72926,2.20768,1.56223,1.53578,6.22615,2.44933,2.39113,2.88838,2.34149,2.27052
12.8,2.19756,1.75162,1.68068,2.04056,1.36733,1.30969,3.22156,2.50213,2.27164,2.28276,1.39461,1.28654,3.26426,3.03471,3.08633,2.08227,1.47818,1.42584,2.00199,1.45855,1.46705,1.47005,1.10682,1.06391,2.70465,1.94103,1.85344,2.42772,1.69811,1.60961,2.40588,1.38382,1.34106,2.33009,1.36482,1.30928,2.78173,2.13934,2.00459,2.75639,2.07732,1.95505,3.59306,3.34152,3.3151,2.23559,1.58687,1.56748,6.49088,2.49559,2.4292,2.9805,2.38932,2.30834
13.8,2.18641,1.70905,1.67303,1.98484,1.2932,1.2267,2.58884,2.14502,1.92639,1.72096,0.97285,0.96295,3.1817,2.94843,3.0183,1.96419,1.30862,1.25179,1.96722,1.4402,1.44868,1.38403,1.02454,0.9857,3.11809,2.44101,2.35831,2.92542,2.30821,2.22453,2.40035,1.42185,1.37645,2.34781,1.41473,1.35757,2.76814,2.09952,1.97074,2.77688,2.09053,1.96391,4.06411,3.8704,3.83497,2.16264,1.50155,1.47818,5.96013,2.64705,2.5714,3.16878,2.55797,2.46947
14.8,2.4535,2.02483,1.98976,2.25625,1.64418,1.59004,2.74419,2.21726,1.98236,2.0248,1.24244,1.18266,3.51354,3.36306,3.48712,2.00175,1.38545,1.33607,1.63602,1.04631,1.06373,1.25054,0.84652,0.81426,3.26422,2.48023,2.39762,3.06091,2.29735,2.22651,2.26883,1.36144,1.3099,2.26737,1.36103,1.30462,2.77514,2.1147,1.97814,2.75969,2.09115,1.95812,3.9417,3.77046,3.73947,2.20985,1.5502,1.5301,6.14707,2.74257,2.67317,3.2365,2.66446,2.58346
